County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Franklin,Washington,G53,commercial,2022,G5300210,elec,717192.875443755,14595297.726593265
Kitsap,Washington,G53,commercial,2022,G5300350,elec,3147659.6589144734,90467766.64141656
Pacific,Washington,G53,commercial,2022,G5300490,elec,441757.34537461976,11055975.558268344
Franklin,Washington,G53,commercial,2022,G5300210,ng,680420.5624041185,5749397.264326406
Kitsap,Washington,G53,commercial,2022,G5300350,ng,2091307.0579920076,17704619.105615053
Pacific,Washington,G53,commercial,2022,G5300490,ng,4562.745036463186,513.4808254755173
Franklin,Washington,G53,residential,2022,G5300210,elec,1221314.5687356547,31224629.78896099
Kitsap,Washington,G53,residential,2022,G5300350,elec,3151802.0794402217,99811030.66245936
Pacific,Washington,G53,residential,2022,G5300490,elec,277024.1823889036,7191487.700812497
Pacific,Washington,G53,industrial,2022,G5300490,elec,246944.068564848,2977091.7901477977
Kitsap,Washington,G53,industrial,2022,G5300350,elec,684345.2508466177,8250283.717128812
Franklin,Washington,G53,industrial,2022,G5300210,elec,1313509.834713017,15835324.038874974
Pacific,Washington,G53,industrial,2022,G5300490,ng,61722.76266481242,511450.7585863686
Kitsap,Washington,G53,industrial,2022,G5300350,ng,217346.33097063503,1800987.8536151072
Franklin,Washington,G53,industrial,2022,G5300210,ng,2616981.0421987083,21684981.058077697
Franklin,Washington,G53,residential,2022,G5300210,ng,492688.2031554735,4537297.104107476
Kitsap,Washington,G53,residential,2022,G5300350,ng,2348530.0458785463,21364420.730932396
Pacific,Washington,G53,residential,2022,G5300490,ng,28326.39107511163,280472.2323632842
Garfield,Washington,G53,commercial,2022,G5300230,elec,88148.68599442502,2157419.9484133204
Garfield,Washington,G53,commercial,2022,G5300230,ng,39900.32281342935,314464.5297045218
Garfield,Washington,G53,residential,2022,G5300230,elec,52873.069890140614,1298259.3083852895
Garfield,Washington,G53,industrial,2022,G5300230,elec,101748.04123018587,0.0
Garfield,Washington,G53,industrial,2022,G5300230,ng,0.0,0.0
Garfield,Washington,G53,residential,2022,G5300230,ng,5346.214847586255,51058.51465854671
Lewis,Washington,G53,commercial,2022,G5300410,elec,1366440.9563744005,30363444.654124267
Whitman,Washington,G53,commercial,2022,G5300750,elec,486808.35706810316,12839341.297171481
Lewis,Washington,G53,commercial,2022,G5300410,ng,661011.411626136,5349888.945996269
Whitman,Washington,G53,commercial,2022,G5300750,ng,440610.11652697314,3472559.701076548
Lewis,Washington,G53,residential,2022,G5300410,elec,1421143.0759158263,34916978.21925677
Whitman,Washington,G53,residential,2022,G5300750,elec,600002.6251564613,16044629.971395794
Lewis,Washington,G53,industrial,2022,G5300410,elec,1329339.8493118621,16026166.470418405
Whitman,Washington,G53,industrial,2022,G5300750,elec,561928.8801328433,6774464.62031999
Lewis,Washington,G53,industrial,2022,G5300410,ng,2005845.9247464482,16620957.577516222
Whitman,Washington,G53,industrial,2022,G5300750,ng,13095.623067619641,108513.716219536
Lewis,Washington,G53,residential,2022,G5300410,ng,345087.9698168744,3514176.3560153865
Whitman,Washington,G53,residential,2022,G5300750,ng,368500.2660459132,3519326.6211986584
Columbia,Washington,G53,commercial,2022,G5300130,elec,37397.19122405743,946560.8057336144
Yakima,Washington,G53,commercial,2022,G5300770,elec,3553232.8904343965,86357826.03480129
Columbia,Washington,G53,commercial,2022,G5300130,ng,632.0002439761283,71.12385292890413
Yakima,Washington,G53,commercial,2022,G5300770,ng,2857422.853908743,24152895.927344944
Columbia,Washington,G53,residential,2022,G5300130,elec,79780.03136122125,2066774.6865319363
Yakima,Washington,G53,residential,2022,G5300770,elec,3996578.3329715715,100660454.2089994
Columbia,Washington,G53,industrial,2022,G5300130,elec,122821.27326173596,1480700.4938731429
Yakima,Washington,G53,industrial,2022,G5300770,elec,3802910.643436721,45846875.85751054
Columbia,Washington,G53,industrial,2022,G5300130,ng,32753.332570459952,271402.57607009826
Yakima,Washington,G53,industrial,2022,G5300770,ng,2455974.7661697557,20350841.456139207
Columbia,Washington,G53,residential,2022,G5300130,ng,8081.935465760974,80022.8478013636
