County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
San Mateo,California,G06,industrial,2022,G0600810,ng,2365038.6464557443,17813361.639287174
San Luis Obispo,California,G06,industrial,2022,G0600790,ng,8689134.664651345,65446160.19102218
Contra Costa,California,G06,commercial,2022,G0600130,elec,10690082.24873956,576950627.0293374
Imperial,California,G06,commercial,2022,G0600250,elec,1199148.0163873355,41804091.63926795
Lake,California,G06,commercial,2022,G0600330,elec,450409.0100743322,24308864.49364762
Orange,California,G06,commercial,2022,G0600590,elec,38939820.2315523,1562011289.0846438
Plumas,California,G06,commercial,2022,G0600630,elec,182212.88755725083,9276470.553234827
Tehama,California,G06,commercial,2022,G0601030,elec,386363.4491370875,20852284.300717376
Contra Costa,California,G06,commercial,2022,G0600130,ng,6860191.9113930715,54851827.65512282
Imperial,California,G06,commercial,2022,G0600250,ng,802257.715508753,6622671.45202834
Lake,California,G06,commercial,2022,G0600330,ng,328241.80950141355,2624513.045183123
Orange,California,G06,commercial,2022,G0600590,ng,25005535.171257887,206421752.912278
Plumas,California,G06,commercial,2022,G0600630,ng,3317.742109671805,379.9778629763059
Tehama,California,G06,commercial,2022,G0601030,ng,284871.23039035493,2277736.2259652475
Contra Costa,California,G06,residential,2022,G0600130,elec,8690682.577437835,493221050.36396587
Imperial,California,G06,residential,2022,G0600250,elec,1884543.942796674,67552517.4552946
Lake,California,G06,residential,2022,G0600330,elec,555228.894109581,31510825.060685527
Orange,California,G06,residential,2022,G0600590,elec,22286604.7441307,1037953202.0334319
Plumas,California,G06,residential,2022,G0600630,elec,186960.06615459512,10599906.292921234
Tehama,California,G06,residential,2022,G0601030,elec,552058.9597526316,31330922.23583792
Contra Costa,California,G06,industrial,2022,G0600130,elec,2747188.046657975,89005615.69191043
Tehama,California,G06,industrial,2022,G0601030,elec,1123673.7369241123,36405688.68717553
Orange,California,G06,industrial,2022,G0600590,elec,16957285.856001563,549395834.01043
Lake,California,G06,industrial,2022,G0600330,elec,233926.78860866578,7578948.908238987
Plumas,California,G06,industrial,2022,G0600630,elec,256083.93985540935,8296814.17818085
Imperial,California,G06,industrial,2022,G0600250,elec,788875.9360496639,25558639.306854155
Orange,California,G06,residential,2022,G0600590,ng,32934279.407295812,323884097.61330986
Plumas,California,G06,residential,2022,G0600630,ng,69748.4112384388,904384.7264370373
Tehama,California,G06,residential,2022,G0601030,ng,625776.805337291,7478024.166790453
Contra Costa,California,G06,residential,2022,G0600130,ng,16872923.59103593,201631203.5078948
Imperial,California,G06,residential,2022,G0600250,ng,857522.8263932049,8432465.542968066
Lake,California,G06,residential,2022,G0600330,ng,516964.2875721773,6177716.085288443
Contra Costa,California,G06,industrial,2022,G0600130,ng,50915332.76527623,383491930.2023701
Tehama,California,G06,industrial,2022,G0601030,ng,1816379.1803742715,13680883.930826075
Orange,California,G06,industrial,2022,G0600590,ng,41256139.62959158,310739334.4984799
Lake,California,G06,industrial,2022,G0600330,ng,118017.19152041481,888900.0251038866
Plumas,California,G06,industrial,2022,G0600630,ng,630215.4693568024,4746753.7510008775
