County Name,State Name,State Geography ID,Sector,Year,Geography ID,Source,Consumption MMBtu,Expenditure US Dollars
Hood River,Oregon,G41,commercial,2022,G4100270,elec,245682.41512947422,5813781.432358136
Linn,Oregon,G41,commercial,2022,G4100430,elec,1461398.713703469,38693316.06773064
Douglas,Oregon,G41,commercial,2022,G4100190,ng,824281.2027289799,7626922.683821344
Grant,Oregon,G41,commercial,2022,G4100230,ng,649.2015067822792,70.59109322826313
Hood River,Oregon,G41,commercial,2022,G4100270,ng,205251.481850948,1866378.3886672747
Linn,Oregon,G41,commercial,2022,G4100430,ng,801613.346710712,7289174.299379244
Douglas,Oregon,G41,residential,2022,G4100190,elec,1668725.9515489184,51857350.52388839
Grant,Oregon,G41,residential,2022,G4100230,elec,121728.75862670477,3372715.9068981074
Hood River,Oregon,G41,residential,2022,G4100270,elec,321586.59526383923,9026370.313404458
Linn,Oregon,G41,residential,2022,G4100430,elec,1554599.3997398005,48968594.49708583
Linn,Oregon,G41,industrial,2022,G4100430,elec,2039930.378229904,33548846.953308914
Douglas,Oregon,G41,industrial,2022,G4100190,elec,923351.4290530387,15185506.381987052
Hood River,Oregon,G41,industrial,2022,G4100270,elec,324372.12638212607,5334648.15272576
Grant,Oregon,G41,industrial,2022,G4100230,elec,99750.91219905061,1640510.9323989588
Linn,Oregon,G41,industrial,2022,G4100430,ng,2317909.64347414,14732925.510005515
Douglas,Oregon,G41,industrial,2022,G4100190,ng,1569201.3184454646,9974041.136568377
Hood River,Oregon,G41,industrial,2022,G4100270,ng,232623.8233072535,1478586.3074031018
Grant,Oregon,G41,industrial,2022,G4100230,ng,17342.05327258151,110228.27389964307
Douglas,Oregon,G41,residential,2022,G4100190,ng,723993.3385653758,8749718.406356871
Grant,Oregon,G41,residential,2022,G4100230,ng,5646.984057008645,60535.33178475945
Hood River,Oregon,G41,residential,2022,G4100270,ng,150482.73630069365,1625215.7240251482
Linn,Oregon,G41,residential,2022,G4100430,ng,1127658.9087693626,12178732.490547009
Harney,Oregon,G41,commercial,2022,G4100250,elec,52083.087051953975,1132776.250038168
